INFO 2025-08-04 19:36:51,915 basehttp 3876 46728 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-08-04 19:36:51,947 basehttp 3876 46728 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2025-08-04 19:36:51,950 basehttp 3876 40076 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2025-08-04 19:36:51,955 basehttp 3876 40076 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:36:55,666 basehttp 3876 44492 "GET /admin/accounts/userprofile/ HTTP/1.1" 200 25048
INFO 2025-08-04 19:36:55,818 basehttp 3876 44492 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-08-04 19:36:55,848 basehttp 3876 44492 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-08-04 19:37:01,064 basehttp 3876 44492 "GET /admin/auth/group/add/ HTTP/1.1" 200 34235
INFO 2025-08-04 19:37:01,114 basehttp 3876 44492 "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
INFO 2025-08-04 19:37:01,146 basehttp 3876 44492 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-08-04 19:37:01,158 basehttp 3876 1608 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2025-08-04 19:37:01,165 basehttp 3876 37200 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-08-04 19:37:01,199 basehttp 3876 47044 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2025-08-04 19:37:01,208 basehttp 3876 47044 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-08-04 19:37:01,231 basehttp 3876 44992 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-08-04 19:37:01,347 basehttp 3876 44992 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-08-04 19:37:01,357 basehttp 3876 44992 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-08-04 19:37:01,358 basehttp 3876 47044 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-08-04 19:37:21,017 basehttp 3876 4100 "POST /admin/auth/group/add/ HTTP/1.1" 200 9937
